	Тип библиотеки	Электронный каталог	Изба-читальня	Дата открытия	Размер фонда	Уверенность в фонде
1035				1958		
1036						
1037						
1038						
1039						
1040				1956		
1041						
1042						
1043					17000	1
1044					14834	1
1045					6466	1
1046					10794	1
1047				2 сентября 1970	6458	1
1048			0	1912		
1049						
1050						
1051						
1052						
1053						
1054						
1055				1949	76398000	1
1056						
1057				1952		
1058						
1059						
1060			0			
1061						
1062					14500	1
1063						
1064						
1065						
1066						
1067				1975		
1068						
1069						
1070				1947		
1071						
1072					25000	1
1073						
1074						
1075						
1076						
1077						
1078						
1079						
1080			0			
1081					6000	0
1082						
1083						
1084				декабре 1944	60000	1
1085						
1086						
1087				1960		
1088					32000	1
1089						
1090						
1091						
1092						
1093				1979		
1094						
1095				1979		
1096					33875	1
1097						
1098						
1099						
1100						
1101						
1102						
1103					13000	1
1104						
1105						
1106				1967		
1107						
1108				1962		
1109					50000	1
1110					58000	0
1111						
1112			0	1937	66839	1
1113						
1114						
1115				1929	60000	1
1116						
1117				1953		
1118				1960		
1119						
1120				1924		
1121						
1122						
1123				1952	19442	1
1124					11401	1
1125						
1126						
1127	универсальная	opac.nekrasovka.ru/vmk/				
1128						
1129						
1130				июне 1920		
1131				1970	60000	1
1132						
1133				1952	4000	1
1134			0		13993	1
1135						
1136						
1137						
1138			1	1920		
1139				1945	44566	1
1140				1976		
1141						
1142						
1143					66693	0
1144					324960	1
1145				1911		
1146						
1147				1953	17092	1
1148						
1149						
1150						
1151						
1152				1944		
1153				16 апреля 1955	20000	1
1154				9 ноября 1918	66	0
1155				2007		
1156				1907		
1157						
1158					70000	1
1159				1927		
1160				1971	7293	1
1161				1940		
1162					17295	1
1163						
1164					1248	1
1165						
1166						
1167	универсальная	opac.nekrasovka.ru/vmk/				
1168						
1169			0		14000	1
1170				1936		
1171						
1172					8646	1
1173				1956	8000	1
1174						
1175						
1176						
1177					10000	1
1178						
1179			0			
1180				1911		
1181						
1182						
1183						
1184						
1185						
1186						
1187						
1188						
1189						
1190				1955		
1191				26 сентября 1964		
1192						
1193					10992	1
1194					85000	1
1195						
1196						
1197						
1198						
1199						
1200						
1201						
1202						
1203						
1204						
1205						
1206						
1207						
1208						
1209						
1210						
1211						
1212						
1213						
1214						
1215						
1216						
1217						
1218						
1219						
1220						
1221						
1222						
1223						
1224						
1225						
1226						
1227						
1228						
1229						
1230						
1231						
1232					160000	1
1233						
1234			0	1920	300	1
1235						
1236						
1237						
1238						
1239						
1240						
1241						
1242					25000	1
1243						
1244						
1245						
1246						
1247						
1248						
1249						
1250						
1251						
1252						
1253						
1254						
1255						
1256						
1257						
1258						
1259						
1260						
1261						
1262						
1263						
1264						
1265				1978		
1266						
1267						
1268						
1269						
1270						
1271						
1272					35000000	1
1273					19000	1
1274	взрослая	opac.nekrasovka.ru/opacg2/?bibl	0			
1275				20 августа 1952	10496	1
1276				мае 1974	16000	1
1277				1960		
1278						
1279						
1280						
1281						
1282						
1283						
1284						
1285						
1286						
1287				1910		
1288						
1289						
1290						
1291						
1292						
1293						
1294						
1295						
1296						
1297						
1298						
1299						
1300						
1301						
1302						
1303						
1304						
1305						
1306						
1307						
1308						
1309						
1310						
1311						
1312						
1313						
1314						
1315						
1316						
1317						
1318						
1319						
1320						
1321						
1322						
1323						
1324						
1325				1951	105000	0
1326						
1327						
1328						
1329						
1330						
1331						
1332						
1333						
1334						
1335						
1336						
1337						
1338						
1339						
1340						
1341						
1342						
1343						
1344						
1345						
1346						
1347						
1348						
1349						
1350						
1351						
1352						
1353						
1354						
1355						
1356						
1357						
1358						
1359						
1360						
1361						
1362						
1363						
1364						
1365						
1366						
1367						
1368						
1369						
1370						
1371						
1372						
1373						
1374						
1375						
1376						
1377						
1378						
1379						
1380						
1381						
1382						
1383						
1384						
1385						
1386						
1387						
1388						
1389						
