n_visits	prep	n_days
			
			
			
			
			
140	в	365
			
			
2 500	в	365
			
			
			
			
			
			
			
			
			
			
			
			
трех_1000	в	365
			
			
			
			
			
			
			
			
250	None	365
			
			
			
			
			
400	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1 200	None	365
двух_1000	None	365
			
			
			
			
			
2 396	в	365
			
			
			
13 807	в	365
			
			
185	None	365
265	None	365
			
95 451	на	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
4583	в	365
750	None	365
			
			
			
			
			
			
			
			
			
			
20000	в	365
21000	в	365
102000	в	365
			
			
			
			
			
3,5_1000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
181	в	365
250	в	365
			
			
35	в	1
			
			
			
			
			
			
			
			
			
			
32000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
3 000	None	365
			
			
			
			
			
			
			
			
150000	в	365
			
			
			
105742	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
13 000	в	365
			
1500	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
550	в	365
			
			
			
			
			
			
			
			
			
			
			
3 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
10	None	7
1000	за	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
6 850	в	365
3300	в	365
			
			
			
			
			
			
			
			
			
50000	None	365
			
800	с	365
			
			
648	в	365
			
			
			
			
			
8 900	None	365
8 900	None	365
2 422	None	365
			
			
			
			
			
1500	в	365
1 196	в	365
6 689	в	365
5 323	в	365
4 231	в	365
3 773	в	365
4 225	в	365
4 650	в	365
3 997	в	365
			
			
			
			
			
			
			
			
			
			
			
			
700000	None	365
500	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
8 000	None	365
			
			
			
			
			
			
			
			
			
			
			
11 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
655	None	365
			
			
			
			
			
700000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
19 900	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
2 300	в	365
2 400	в	365
			
			
3 000	в	365
4 000	в	365
2 000	в	365
3 200	в	365
			
			
5 500_1000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
229 300	за	365
			
			
			
			
			
527	в	365
			
700	в	365
			
			
			
			
1 356	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
460	None	365
			
			
			
			
			
			
			
			
			
9000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
3797	None	365
			
			
			
			
75000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
3880	в	365
			
			
			
			
			
			
			
600	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
500	за	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
2510	None	365
3 980	None	365
8 080	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
3 658	в	365
			
			
			
			
			
			
			
			
4950	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
25000	None	365
			
2 000	None	365
			
			
			
			
			
			
			
2 300	None	365
			
			
			
			
			
			
			
32303	в	365
28 918	в	365
23139	в	365
23 147	в	365
43157	за	365
			
			
			
			
			
			
			
			
			
14000	None	365
3 800	в	365
			
4000	None	365
			
			
			
			
			
2 550	None	365
			
1,5_1000	None	365
10	в	1
150	в	1
70	в	1
60 000	None	365
60 000	None	365
40	в	1
			
			
			
			
150	в	1
			
			
			
			
			
			
			
			
			
			
			
			
			
1 800	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
182000	None	365
			
			
			
			
			
			
31 482	в	365
40 811	в	365
24 283	в	365
22 360	в	365
			
			
			
			
30000	None	365
			
			
			
			
150000	в	365
4 000	None	365
8 500	None	365
6 000	None	365
7 000	None	365
30 000	None	365
5 000	None	365
9 000	None	365
			
			
			
50	в	1
80	в	1
50	в	1
20	в	1
100	в	1
150	в	1
30	в	1
100	в	1
100	в	1
100	в	1
150	в	1
100	в	1
50	в	1
10	в	1
150	в	1
30	в	1
120	в	1
10	в	1
50	в	1
20	в	1
10	в	1
50	в	1
140	в	1
10	в	1
50	в	1
130	в	1
35	в	1
150	в	1
10	в	1
10	в	1
100	в	1
60	в	1
100	в	1
60	в	1
80	в	1
10	в	1
			
			
			
			
			
			
			
			
			
8 000	в	365
			
5000	None	365
			
500	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
700	None	365
1500	в	365
			
1 000	None	365
			
4 500	за	365
			
2000	свыше	365
			
			
			
			
7 000	в	365
			
			
			
			
			
6 428	за	365
			
			
			
24 588	за	365
4200	в	365
700	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1,5_1000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1400	None	365
			
			
			
			
			
			
260	в	365
500	в	365
620	в	365
500	в	365
300	в	365
			
705	в	365
760	в	365
280	в	365
280	в	365
			
			
			
			
760	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
750	None	365
			
			
305	None	365
2 000	None	365
			
			
			
			
14 208	None	365
			
150	в	30
			
			
			
212	None	365
			
			
500	за	30
			
			
854	за	365
			
3 700	None	365
			
			
			
			
7 105	на	365
			
6 300	за	365
			
			
			
			
			
			
			
			
			
			
			
			
1 000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1 000	в	365
			
			
			
			
			
			
			
4 410	за	365
			
			
			
			
2 000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
2359	None	365
4 963	None	365
2 157	None	365
5 630	None	365
1 845	None	365
			
			
трех_1000	в	365
			
2000	None	365
			
13 909	None	365
6000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
62 500	за	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
16942	в	365
5 893	в	365
47 803	в	365
			
			
			
			
			
			
			
			
			
			
7 000	None	365
			
			
28000	в	365
			
			
25000	None	365
			
			
			
			
			
			
			
130	в	1
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
70000	в	365
			
			
			
			
			
80	в	1
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
58000	в	365
			
2 200	None	365
			
			
7 000	в	365
			
			
			
			
			
			
			
			
29000	в	365
			
35000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
4000	None	365
			
18 000	None	365
26000	None	365
25000	None	365
40000	None	365
25000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
10	в	1
60	в	1
50	в	1
40	в	1
140	в	1
100	в	1
10	в	1
10	в	1
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
400	в	365
250	в	365
200	в	365
130	в	365
400	в	365
150	в	365
350	в	365
400	в	365
450	в	365
390	в	365
300	в	365
400	в	365
2 000	в	365
2700	в	365
400	в	365
			
1000	None	365
2,5_1000	None	365
550	None	365
1,5_1000	за	365
			
			
			
			
			
			
1500	None	365
1 500	None	365
			
			
			
			
			
			
			
			
			
			
			
14 020	за	365
			
			
			
			
			
			
			
			
			
			
			
			
			
7000	None	365
			
			
			
57000	в	365
			
			
			
			
			
			
			
			
			
			
350	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
20 000	None	365
			
			
4000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
8 850	None	365
			
			
9 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
500	None	365
			
			
			
			
			
			
			
			
			
			
			
402	за	365
			
			
			
			
			
			
			
			
2 010	в	365
1 000	None	365
			
			
			
			
			
2000	None	365
			
			
			
			
			
			
3 000	в	365
			
			
			
			
			
			
			
			
			
			
			
8000	None	365
			
			
			
			
			
4 000	None	365
10 000	None	365
4 000	None	365
2 500_1000	в	365
			
			
			
			
			
			
			
			
			
			
			
1 300	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
2 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1 186	в	365
900	в	365
			
			
			
			
			
5 975	в	365
			
			
			
			
			
1 050	None	365
			
			
			
			
			
			
			
			
			
			
			
5 000	в	365
			
			
			
			
			
			
			
			
			
6 265	в	365
30000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
230	в	365
			
			
			
			
			
20000	None	365
			
			
			
			
			
			
			
			
			
3000	с	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
500	в	365
			
			
			
			
			
			
			
			
			
			
			
500	в	365
			
			
			
			
			
			
			
			
			
800	None	365
			
1,5_1000	None	365
8000	None	365
			
			
			
			
			
			
2000	около	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
645	в	365
			
			
			
3 608	в	365
			
			
			
			
			
			
			
			
			
			
			
19 600	в	365
			
			
			
			
			
			
			
			
			
1 200	в	365
			
			
			
			
			
			
			
			
3 000	None	365
			
			
			
			
			
8 000	в	365
28 000	в	365
30 000	в	365
			
500	в	365
23 000	None	365
20000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
3 000	в	365
			
			
			
			
			
			
			
			
			
			
6000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
500	в	365
			
			
			
			
			
			
			
			
			
250	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
69 870	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
2000	в	30
			
			
			
4 880	None	365
			
			
			
			
			
			
			
			
			
9000	None	365
10,8_1000	в	365
23000	в	365
			
10 000	None	365
12000	None	365
			
4000	None	365
			
			
			
			
			
			
3 833	за	365
			
			
			
			
			
			
			
			
			
400	None	365
290	за	365
389	за	365
1 168	за	365
			
			
			
			
			
			
			
			
			
			
			
			
			
500	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
38000	None	365
800	None	365
			
двух_1000	None	365
			
			
			
250	None	365
700	None	365
			
			
			
			
			
			
			
			
			
			
1,5_1000	в	365
			
			
			
500	в	365
			
			
			
			
			
			
			
			
			
350	в	365
			
			
			
			
			
			
			
2 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
2 800	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
9000	None	365
			
			
			
377	в	365
			
			
			
			
			
			
			
			
			
			
1 470	None	365
5 000	в	365
50000	за	365
4 000	в	365
			
			
			
1 600	за	365
			
			
			
			
			
			
			
			
			
			
			
			
4 000	None	365
			
			
			
			
			
385	в	365
			
			
			
			
			
			
			
			
			
			
			
1 950	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
28 000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
11 186	за	365
			
			
			
			
			
			
			
			
			
			
			
			
500	в	365
			
			
			
40000	в	365
2 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
584	за	365
			
			
5 500	None	365
			
			
3 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
43000	в	365
			
			
13 000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
1 350	None	365
			
			
			
			
			
31000	None	365
			
			
			
			
			
			
			
1700	None	365
			
			
			
			
			
			
2000	None	365
			
15 097	None	365
			
6000	None	365
			
			
400	None	365
			
			
			
			
			
			
			
			
			
			
			
			
2000	None	365
			
			
3000	None	365
			
			
			
2434	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
2 020	в	365
			
			
			
			
			
			
			
			
			
500	в	365
			
			
			
			
			
			
2 404	в	365
			
			
			
			
			
			
			
			
			
			
			
			
1 380	за	365
175	None	365
			
1 100	за	365
			
			
400	None	365
7 685	в	365
			
			
			
238	за	365
292	за	365
140	за	365
			
			
			
			
			
255	за	365
			
			
			
			
			
30000	в	365
			
			
			
			
			
			
			
3 000	за	365
			
			
			
			
			
			
			
			
			
			
			
800	None	365
800	None	365
800	None	365
400	None	365
			
			
			
			
			
			
700	None	365
			
500	None	365
1 350	None	365
			
			
1 200	в	365
40	в	1
2 500	в	365
			
			
			
450	None	365
400	в	365
302	в	365
250	в	365
180	в	365
400	в	365
250	в	365
242	в	365
1 007	в	365
236	в	365
			
506	в	365
			
450	в	365
			
			
			
			
			
трех_1000	None	365
			
840	None	365
460	None	365
			
1 648	None	365
1 006	None	365
1 800	None	365
1 919	None	365
1 830	None	365
1 009	None	365
826	None	365
			
1 560	None	365
32 516	в	365
880	None	365
			
700	None	365
			
857	None	365
			
650	None	365
			
1 135	None	365
1 050	None	365
			
1 002	None	365
2 300	None	365
1 802	None	365
268	None	365
			
			
1 630	None	365
900	None	365
			
			
			
			
			
			
			
6 532	в	365
			
1 700	за	365
			
			
			
			
			
			
			
			
			
			
270	None	365
			
			
			
			
50	None	1
5 000	None	365
			
			
			
			
			
900	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
5 710	в	365
			
			
500	None	365
1 950	None	365
			
			
40 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
